trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Left,4,Left,True,17018,-1,4,0,intro std='crop_3'
2,Right,8,Right,True,569,-1,8,0,intro std='crop_3'
3,Right,16,Right,True,449,-1,16,0,intro std='crop_3'
4,Right,16,Right,True,344,-1,16,0,stair std='crop_2'
5,Left,16,Left,True,414,-1,16,0,stair std='crop_3'
6,Left,144,Left,True,671,-1,144,0,stair std='crop_3'
7,Left,144,Left,True,469,-1,144,0,stair std='crop_1'
8,Left,272,Left,True,599,-1,272,0,stair std='crop_2'
9,Right,272,Right,True,515,-1,272,0,stair std='crop_1'
10,Right,400,Right,True,581,-1,400,0,stair std='crop_3'
11,Left,400,Left,True,725,-1,400,0,stair std='crop_3'
12,Left,528,Left,True,874,-1,528,0,stair std='crop_1'
13,Left,528,Left,True,500,-1,528,0,stair std='crop_3'
14,Right,656,Right,True,805,-1,656,0,stair std='crop_3'
15,Left,656,Left,True,1214,-1,656,0,stair std='crop_3'
16,Right,784,Right,True,928,-1,784,0,stair std='crop_1'
17,Right,784,Right,True,781,-1,784,0,stair std='crop_3'
18,Left,912,Left,True,5964,-1,912,0,stair std='crop_2'
19,Right,912,Right,True,856,-1,912,0,stair std='crop_3'
20,Right,1020,Right,True,1152,-1,1020,0,stair std='crop_2'
21,Left,1020,Left,True,6998,-1,1020,0,stair std='crop_3'
22,Left,1020,Left,True,991,-1,1020,0,stair std='crop_1'
23,Right,1020,Left,False,1586,-1,1020,0,stair std='crop_1'
24,Right,892,Right,True,3676,-1,892,0,stair std='crop_2'
25,Right,892,Right,True,885,-1,892,0,stair std='crop_1'
26,Left,956,Left,True,3255,-1,956,0,stair std='crop_1'
27,Right,956,Right,True,852,-1,956,0,stair std='crop_3'
28,Right,988,Right,True,1162,-1,988,0,stair std='crop_2'
29,Right,988,Right,True,1627,-1,988,0,stair std='crop_3'
30,Right,1020,Right,True,1638,-1,1020,0,stair std='crop_1'
31,Right,1020,Right,True,10015,-1,1020,0,stair std='crop_1'
32,Left,1020,Left,True,8207,-1,1020,0,stair std='crop_3'
33,Left,1020,Left,True,14919,-1,1020,0,stair std='crop_1'
34,Left,1020,Left,True,7334,-1,1020,0,stair std='crop_3'
35,Left,1020,Right,False,4265,-1,1020,0,stair std='crop_3'
36,Left,988,Left,True,2134,-1,988,0,stair std='crop_3'
37,Right,988,Right,True,3217,-1,988,0,stair std='crop_1'
38,Left,1004,Left,True,3878,-1,1004,0,stair std='crop_3'
39,Right,1004,Right,True,5047,-1,1004,0,stair std='crop_2'
40,Right,1012,Left,False,1570,-1,1012,0,stair std='crop_1'
41,Left,1004,Left,True,2159,-1,1004,1,stair std='crop_2'
42,Right,1004,Right,True,1973,-1,1004,1,stair std='crop_3'
43,Right,1008,Right,True,1928,-1,1008,2,stair std='crop_3'
44,Right,1008,Right,True,3812,-1,1008,2,stair std='crop_3'
45,Right,1012,Right,True,3241,-1,1012,2,stair std='crop_3'
46,Right,1012,Right,True,997,-1,1012,2,stair std='crop_3'
47,Right,1016,Left,False,1024,-1,1016,2,stair std='crop_2'
48,Right,1012,Right,True,1248,-1,1012,3,stair std='crop_3'
49,Right,1012,Right,True,925,-1,1012,3,stair std='crop_3'
50,Left,1016,Left,True,3136,-1,1016,4,stair std='crop_3'
51,Right,1016,Right,True,582,-1,1016,4,stair std='crop_2'
52,Right,1020,Right,True,1298,-1,1020,4,stair std='crop_3'
53,Right,1020,Right,True,863,-1,1020,4,stair std='crop_1'
54,Left,1020,Left,True,1059,-1,1020,4,stair std='crop_3'
55,Left,1020,Left,True,1324,-1,1020,4,stair std='crop_1'
56,Right,1020,Left,False,4811,-1,1020,4,stair std='crop_2'
,,,,,,,,JND_px,1016
