trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Left,4,Left,True,1989,-1,4,0,intro
2,Left,8,Left,True,500,-1,8,0,intro
3,Left,16,Left,True,555,-1,16,0,intro
4,Left,16,Left,True,486,-1,16,0,stair baseStep~128px
5,Left,16,Left,True,597,-1,16,0,stair baseStep~128px
6,Right,80,Right,True,749,-1,80,0,stair baseStep~128px
7,Right,80,Right,True,569,-1,80,0,stair baseStep~128px
8,Right,144,Right,True,555,-1,144,0,stair baseStep~128px
9,Left,144,Left,True,583,-1,144,0,stair baseStep~128px
10,Left,208,Left,True,541,-1,208,0,stair baseStep~128px
11,Left,208,Left,True,513,-1,208,0,stair baseStep~128px
12,Left,272,Left,True,625,-1,272,0,stair baseStep~128px
13,Right,272,Right,True,680,-1,272,0,stair baseStep~128px
14,Left,336,Left,True,916,-1,336,0,stair baseStep~128px
15,Left,336,Left,True,667,-1,336,0,stair baseStep~128px
16,Left,400,Left,True,833,-1,400,0,stair baseStep~128px
17,Left,400,Left,True,750,-1,400,0,stair baseStep~128px
18,Right,464,Right,True,805,-1,464,0,stair baseStep~128px
19,Left,464,Left,True,791,-1,464,0,stair baseStep~128px
20,Left,528,Left,True,4736,-1,528,0,stair baseStep~128px
21,Left,528,Left,True,1583,-1,528,0,stair baseStep~128px
22,Left,592,Left,True,1374,-1,592,0,stair baseStep~128px
23,Right,592,Right,True,1389,-1,592,0,stair baseStep~128px
24,Right,656,Right,True,847,-1,656,0,stair baseStep~128px
25,Left,656,Left,True,1527,-1,656,0,stair baseStep~128px
26,Left,720,Left,True,2791,-1,720,0,stair baseStep~128px
27,Right,720,Right,True,3083,-1,720,0,stair baseStep~128px
28,Left,784,Left,True,7097,-1,784,0,stair baseStep~128px
29,Right,784,Right,True,4347,-1,784,0,stair baseStep~128px
30,Left,848,Left,True,1042,-1,848,0,stair baseStep~128px
31,Right,848,Right,True,13569,-1,848,0,stair baseStep~128px
32,Right,912,Right,True,3374,-1,912,0,stair baseStep~128px
33,Left,912,Left,True,1277,-1,912,0,stair baseStep~128px
34,Left,976,Left,True,1958,-1,976,0,stair baseStep~128px
35,Right,976,Right,True,4625,-1,976,0,stair baseStep~128px
36,Left,1020,Left,True,11360,-1,1020,0,stair baseStep~128px
37,Right,1020,Right,True,3416,-1,1020,0,stair baseStep~128px
38,Left,1020,Left,True,15263,-1,1020,0,stair baseStep~128px
39,Left,1020,Left,True,12902,-1,1020,0,stair baseStep~128px
40,Left,1020,Left,True,1764,-1,1020,0,stair baseStep~128px
41,Left,1020,Left,True,1944,-1,1020,0,stair baseStep~128px
42,Right,1020,Right,True,7555,-1,1020,0,stair baseStep~128px
43,Right,1020,Left,False,11194,-1,1020,0,stair baseStep~128px
44,Right,764,Right,True,1555,-1,764,1,stair baseStep~64px
45,Left,764,Left,True,2305,-1,764,1,stair baseStep~64px
46,Right,796,Right,True,1013,-1,796,2,stair baseStep~32px
47,Left,796,Right,False,9555,-1,796,2,stair baseStep~32px
48,Right,732,Right,True,4986,-1,732,3,stair baseStep~16px
49,Left,732,Left,True,1111,-1,732,3,stair baseStep~16px
50,Left,740,Left,True,1583,-1,740,4,stair baseStep~8px
51,Right,740,Right,True,958,-1,740,4,stair baseStep~8px
52,Left,744,Left,True,1624,-1,744,4,stair baseStep~8px
53,Left,744,Left,True,2695,-1,744,4,stair baseStep~8px
54,Right,748,Right,True,1097,-1,748,4,stair baseStep~8px
55,Right,748,Right,True,1958,-1,748,4,stair baseStep~8px
56,Right,752,Right,True,1583,-1,752,4,stair baseStep~8px
57,Left,752,Left,True,4763,-1,752,4,stair baseStep~8px
58,Right,756,Right,True,1138,-1,756,4,stair baseStep~8px
59,Left,756,Left,True,1208,-1,756,4,stair baseStep~8px
60,Left,760,Left,True,3902,-1,760,4,stair baseStep~8px
61,Left,760,Left,True,7777,-1,760,4,stair baseStep~8px
62,Left,764,Left,True,2513,-1,764,4,stair baseStep~8px
63,Left,764,Left,True,3291,-1,764,4,stair baseStep~8px
64,Right,768,Left,False,1430,-1,768,4,stair baseStep~8px
65,Right,752,Right,True,1139,-1,752,5,stair baseStep~4px
66,Right,752,Right,True,1250,-1,752,5,stair baseStep~4px
,,,,,,,,JND_px,756
