trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Right,4,Right,True,14875,-1,4,0,intro std='crop_1'
2,Right,8,Right,True,408,-1,8,0,intro std='crop_2'
3,Right,16,Right,True,412,-1,16,0,intro std='crop_1'
4,Left,16,Left,True,407,-1,16,0,stair std='crop_3'
5,Right,16,Right,True,354,-1,16,0,stair std='crop_2'
6,Left,144,Left,True,415,-1,144,0,stair std='crop_3'
7,Left,144,Left,True,493,-1,144,0,stair std='crop_1'
8,Left,272,Left,True,522,-1,272,0,stair std='crop_1'
9,Right,272,Right,True,462,-1,272,0,stair std='crop_1'
10,Left,400,Left,True,1225,-1,400,0,stair std='crop_3'
11,Right,400,Right,True,675,-1,400,0,stair std='crop_2'
12,Right,528,Right,True,1979,-1,528,0,stair std='crop_3'
13,Left,528,Left,True,871,-1,528,0,stair std='crop_2'
14,Right,656,Right,True,970,-1,656,0,stair std='crop_2'
15,Right,656,Right,True,2823,-1,656,0,stair std='crop_2'
16,Left,784,Right,False,3896,-1,784,0,stair std='crop_3'
17,Left,656,Left,True,1488,-1,656,0,stair std='crop_2'
18,Left,656,Left,True,1024,-1,656,0,stair std='crop_3'
19,Right,720,Right,True,1442,-1,720,0,stair std='crop_1'
20,Left,720,Left,True,1747,-1,720,0,stair std='crop_2'
21,Right,752,Right,True,1007,-1,752,0,stair std='crop_1'
22,Left,752,Left,True,1136,-1,752,0,stair std='crop_1'
23,Left,784,Right,False,1208,-1,784,0,stair std='crop_3'
24,Left,752,Left,True,3304,-1,752,0,stair std='crop_1'
25,Right,752,Right,True,930,-1,752,0,stair std='crop_3'
26,Right,768,Right,True,1715,-1,768,0,stair std='crop_3'
27,Left,768,Left,True,964,-1,768,0,stair std='crop_3'
28,Left,776,Left,True,962,-1,776,0,stair std='crop_1'
29,Left,776,Left,True,1037,-1,776,0,stair std='crop_2'
30,Right,784,Right,True,1911,-1,784,0,stair std='crop_2'
31,Left,784,Left,True,1367,-1,784,0,stair std='crop_3'
32,Right,792,Right,True,7551,-1,792,0,stair std='crop_2'
33,Right,792,Right,True,12097,-1,792,0,stair std='crop_1'
34,Left,800,Left,True,1101,-1,800,0,stair std='crop_1'
35,Right,800,Right,True,1155,-1,800,0,stair std='crop_3'
36,Right,808,Right,True,1043,-1,808,0,stair std='crop_3'
37,Right,808,Right,True,1186,-1,808,0,stair std='crop_2'
38,Left,816,Left,True,1299,-1,816,0,stair std='crop_3'
39,Right,816,Left,False,1558,-1,816,0,stair std='crop_3'
40,Left,808,Left,True,2303,-1,808,1,stair std='crop_2'
41,Left,808,Right,False,1449,-1,808,1,stair std='crop_1'
42,Right,804,Right,True,5057,-1,804,1,stair std='crop_3'
43,Left,804,Right,False,1354,-1,804,1,stair std='crop_3'
44,Left,800,Left,True,995,-1,800,1,stair std='crop_1'
45,Left,800,Right,False,1613,-1,800,1,stair std='crop_3'
46,Right,796,Right,True,3600,-1,796,1,stair std='crop_1'
47,Left,796,Right,False,1158,-1,796,1,stair std='crop_3'
48,Left,792,Left,True,617,-1,792,1,stair std='crop_1'
49,Right,792,Left,False,2494,-1,792,1,stair std='crop_3'
50,Left,788,Left,True,2331,-1,788,1,stair std='crop_3'
51,Right,788,Right,True,2334,-1,788,1,stair std='crop_2'
52,Right,792,Right,True,1161,-1,792,2,stair std='crop_2'
53,Right,792,Right,True,1901,-1,792,2,stair std='crop_2'
54,Left,796,Left,True,873,-1,796,2,stair std='crop_3'
55,Left,796,Left,True,936,-1,796,2,stair std='crop_2'
56,Left,800,Left,True,2231,-1,800,2,stair std='crop_1'
57,Right,800,Right,True,849,-1,800,2,stair std='crop_1'
58,Left,804,Left,True,964,-1,804,2,stair std='crop_1'
59,Left,804,Right,False,840,-1,804,2,stair std='crop_2'
60,Left,800,Right,False,2225,-1,800,3,stair std='crop_1'
61,Right,796,Right,True,4859,-1,796,3,stair std='crop_2'
62,Left,796,Left,True,1340,-1,796,3,stair std='crop_3'
63,Right,800,Right,True,1334,-1,800,4,stair std='crop_2'
64,Right,800,Right,True,807,-1,800,4,stair std='crop_2'
65,Left,804,Right,False,1081,-1,804,4,stair std='crop_2'
,,,,,,,,JND_px,800
