trial,stdSide,cmpPx,response,correct,rtMs,lowPx,midPx,highPx,comment
1,Right,4,Left,False,12,-1,4,0,intro
2,Right,8,Right,True,3703,-1,8,0,intro
3,Left,16,Left,True,588,-1,16,0,intro
4,Right,16,Right,True,438,-1,16,0,stair baseStep~128px
5,Left,16,Left,True,426,-1,16,0,stair baseStep~128px
6,Right,144,Right,True,421,-1,144,0,stair baseStep~128px
7,Right,144,Right,True,430,-1,144,0,stair baseStep~128px
8,Left,272,Left,True,550,-1,272,0,stair baseStep~128px
9,Right,272,Right,True,1042,-1,272,0,stair baseStep~128px
10,Left,400,Left,True,644,-1,400,0,stair baseStep~128px
11,Right,400,Right,True,701,-1,400,0,stair baseStep~128px
12,Left,528,Left,True,1346,-1,528,0,stair baseStep~128px
13,Right,528,Right,True,1226,-1,528,0,stair baseStep~128px
14,Left,656,Left,True,611,-1,656,0,stair baseStep~128px
15,Left,656,Left,True,770,-1,656,0,stair baseStep~128px
16,Right,784,Left,False,501,-1,784,0,stair baseStep~128px
17,Left,656,Left,True,415,-1,656,1,stair baseStep~64px
18,Left,656,Left,True,2433,-1,656,1,stair baseStep~64px
19,Left,720,Right,False,2817,-1,720,2,stair baseStep~32px
20,Right,688,Left,False,642,-1,688,3,stair baseStep~16px
21,Right,672,Right,True,1902,-1,672,3,stair baseStep~16px
22,Right,672,Right,True,837,-1,672,3,stair baseStep~16px
23,Left,688,Right,False,532,-1,688,4,stair baseStep~8px
24,Right,680,Left,False,199,-1,680,5,stair baseStep~4px
25,Left,676,Right,False,202,-1,676,5,stair baseStep~4px
26,Left,672,Left,True,132,-1,672,5,stair baseStep~4px
27,Right,672,Right,True,113,-1,672,5,stair baseStep~4px
,,,,,,,,JND_px,676
